PassengerId,Pclass,Sex,Age,SibSp,ParCh,Ticket,Fare,Cabin,Embarked
0,3,1,4,2,1,0,2,1,1
1,1,2,6,2,1,1,4,1,2
2,3,2,5,1,1,0,2,1,1
3,1,2,5,2,1,0,3,1,1
4,3,1,5,1,1,0,2,1,1
5,3,1,5,1,1,0,2,1,3
6,1,1,7,1,1,0,3,1,1
7,3,1,1,3,2,0,2,1,1
8,3,2,5,1,2,0,2,1,1
9,2,2,3,2,1,0,3,1,2
10,3,2,1,2,2,0,2,1,1
11,1,2,7,1,1,0,3,1,1
12,3,1,4,1,1,0,2,1,1
13,3,1,6,2,2,0,3,1,1
14,3,2,3,1,1,0,2,1,1
15,2,2,7,1,1,0,2,1,1
16,3,1,1,3,2,0,3,1,3
17,2,1,5,1,1,0,2,1,1
18,3,2,5,2,1,0,2,1,1
19,3,2,5,1,1,0,2,1,2
20,2,1,5,1,1,0,3,1,1
21,2,1,5,1,1,0,2,1,1
22,3,2,3,1,1,0,2,1,3
23,1,1,5,1,1,0,3,1,1
24,3,2,2,3,2,0,2,1,1
25,3,2,6,2,2,0,3,1,1
26,3,1,5,1,1,0,2,1,2
27,1,1,4,3,2,0,6,1,1
28,3,2,3,1,1,0,2,1,3
29,3,1,5,1,1,0,2,1,1
30,1,1,6,1,1,1,3,1,2
31,1,2,6,2,1,1,6,1,2
32,3,2,3,1,1,0,2,1,3
33,2,1,8,1,1,0,2,1,1
34,1,1,5,2,1,1,4,1,2
35,1,1,6,2,1,0,3,1,1
36,3,1,5,1,1,0,2,1,2
37,3,1,4,1,1,0,2,1,1
38,3,2,3,3,1,0,2,1,1
39,3,2,3,2,1,0,2,1,2
40,3,2,6,2,1,0,2,1,1
41,2,2,5,2,1,0,2,1,1
42,3,1,5,1,1,0,2,1,2
43,2,2,1,2,2,0,3,1,2
44,3,2,4,1,1,0,2,1,3
45,3,1,5,1,1,0,2,1,1
46,3,1,5,2,1,0,2,1,3
47,3,2,3,1,1,0,2,1,3
48,3,1,5,3,1,0,2,1,2
49,3,2,3,2,1,0,2,1,1
50,3,1,2,3,2,0,3,1,1
51,3,1,4,1,1,0,2,1,1
52,1,2,6,2,1,1,4,1,2
53,2,2,5,2,1,0,3,1,1
54,1,1,7,1,2,0,4,1,2
55,1,1,6,1,1,0,3,1,1
56,2,2,4,1,1,0,2,1,1
57,3,1,5,1,1,0,2,1,2
58,2,2,1,2,2,0,3,1,1
59,3,1,2,3,2,0,3,1,1
60,3,1,4,1,1,0,2,1,2
61,1,2,6,1,1,0,4,1,1
62,1,1,6,2,1,0,4,1,1
63,3,1,1,3,2,0,3,1,1
64,1,1,6,1,1,1,3,1,2
65,3,1,5,2,2,0,2,1,2
66,2,2,5,1,1,0,2,1,1
67,3,1,4,1,1,0,2,1,1
68,3,2,3,3,2,0,2,1,1
69,3,1,5,3,1,0,2,1,1
70,2,1,5,1,1,0,2,1,1
71,3,2,3,3,2,0,3,1,1
72,2,1,4,1,1,0,4,1,1
73,3,1,5,2,1,0,2,1,2
74,3,1,5,1,1,0,4,1,1
75,3,1,4,1,1,0,2,1,1
76,3,1,5,1,1,0,2,1,1
77,3,1,5,1,1,0,2,1,1
78,2,1,1,1,2,0,3,1,1
79,3,2,5,1,1,0,2,1,1
80,3,1,4,1,1,0,2,1,1
81,3,1,5,1,1,0,2,1,1
82,3,2,3,1,1,0,2,1,3
83,1,1,5,1,1,0,3,1,1
84,2,2,3,1,1,0,2,1,1
85,3,2,5,3,1,0,2,1,1
86,3,1,3,2,2,0,3,1,1
87,3,1,5,1,1,0,2,1,1
88,1,2,4,3,2,0,6,1,1
89,3,1,4,1,1,0,2,1,1
90,3,1,5,1,1,0,2,1,1
91,3,1,4,1,1,0,2,1,1
92,1,1,6,2,1,0,4,1,1
93,3,1,5,2,2,0,2,1,1
94,3,1,7,1,1,0,2,1,1
95,3,1,5,1,1,0,2,1,1
96,1,1,8,1,1,1,3,1,2
97,1,1,4,1,2,1,4,1,2
98,2,2,5,1,2,0,2,1,1
99,2,1,5,2,1,0,3,1,1
100,3,2,5,1,1,0,2,1,1
101,3,1,5,1,1,0,2,1,1
102,1,1,4,1,2,0,4,1,1
103,3,1,5,1,1,0,2,1,1
104,3,1,6,3,1,0,2,1,1
105,3,1,5,1,1,0,2,1,1
106,3,2,4,1,1,0,2,1,1
107,3,1,5,1,1,0,2,1,1
108,3,1,6,1,1,0,2,1,1
109,3,2,3,2,1,0,2,1,3
110,1,1,6,1,1,0,3,1,1
111,3,2,3,2,1,0,2,1,2
112,3,1,4,1,1,0,2,1,1
113,3,2,4,2,1,0,2,1,1
114,3,2,3,1,1,0,2,1,2
115,3,1,4,1,1,0,2,1,1
116,3,1,8,1,1,0,2,1,3
117,2,1,5,2,1,0,2,1,1
118,1,1,4,1,2,1,6,1,2
119,3,2,1,3,2,0,3,1,1
120,2,1,4,3,1,0,4,1,1
121,3,1,5,1,1,0,2,1,1
122,2,1,5,2,1,0,3,1,2
123,2,2,5,1,1,0,2,1,1
124,1,1,7,1,2,0,4,1,1
125,3,1,2,2,1,0,2,1,2
126,3,1,5,1,1,0,2,1,3
127,3,1,4,1,1,0,2,1,1
128,3,2,3,2,2,0,2,1,2
129,3,1,6,1,1,0,2,1,1
130,3,1,5,1,1,0,2,1,2
131,3,1,4,1,1,0,2,1,1
132,3,2,6,2,1,0,2,1,1
133,2,2,5,2,1,0,3,1,1
134,2,1,4,1,1,0,2,1,1
135,2,1,4,1,1,0,2,1,2
136,1,2,4,1,2,0,3,1,1
137,1,1,6,2,1,0,3,1,1
138,3,1,3,1,1,0,2,1,1
139,1,1,4,1,1,1,4,1,2
140,3,2,5,1,2,0,2,1,2
141,3,2,4,1,1,0,2,1,1
142,3,2,4,2,1,0,2,1,1
143,3,1,4,1,1,0,2,1,3
144,2,1,3,1,1,0,2,1,1
145,2,1,4,2,2,0,3,1,1
146,3,1,5,1,1,0,2,1,1
147,3,2,2,3,2,0,3,1,1
148,2,1,6,1,2,0,3,1,1
149,2,1,6,1,1,0,2,1,1
150,2,1,7,1,1,0,2,1,1
151,1,2,4,2,1,0,4,1,1
152,3,1,7,1,1,0,2,1,1
153,3,1,6,1,2,0,2,1,1
154,3,1,5,1,1,0,2,1,1
155,1,1,7,1,2,1,4,1,2
156,3,2,3,1,1,0,2,1,3
157,3,1,5,1,1,0,2,1,1
158,3,1,5,1,1,0,2,1,1
159,3,1,5,3,2,0,4,1,1
160,3,1,6,1,2,0,2,1,1
161,2,2,6,1,1,0,2,1,1
162,3,1,5,1,1,0,2,1,1
163,3,1,3,1,1,0,2,1,1
164,3,1,1,3,2,0,3,1,1
165,3,1,2,1,2,0,2,1,1
166,1,2,6,1,2,0,3,1,1
167,3,2,6,2,2,0,3,1,1
168,1,1,6,1,1,1,3,1,1
169,3,1,5,1,1,0,4,1,1
170,1,1,7,1,1,0,3,1,1
171,3,1,1,3,2,0,3,1,3
172,3,2,1,2,2,0,2,1,1
173,3,1,4,1,1,0,2,1,1
174,1,1,7,1,1,0,3,1,2
175,3,1,3,2,2,0,2,1,1
176,3,1,5,3,2,0,3,1,1
177,1,2,6,1,1,1,3,1,2
178,2,1,5,1,1,0,2,1,1
179,3,1,6,1,1,0,2,1,1
180,3,2,3,3,2,0,4,1,1
181,2,1,5,1,1,0,2,1,2
182,3,1,2,3,2,0,3,1,1
183,2,1,1,3,2,0,3,1,1
184,3,2,1,1,2,0,2,1,1
185,1,1,6,1,1,0,3,1,1
186,3,2,5,2,1,0,2,1,3
187,1,1,6,1,1,0,3,1,1
188,3,1,6,2,2,0,2,1,3
189,3,1,6,1,1,0,2,1,1
190,2,2,5,1,1,0,2,1,1
191,2,1,4,1,1,0,2,1,1
192,3,2,4,2,1,0,2,1,1
193,2,1,1,2,2,0,3,1,1
194,1,2,6,1,1,1,3,1,2
195,1,2,7,1,1,1,6,1,2
196,3,1,5,1,1,0,2,1,3
197,3,1,6,1,2,0,2,1,1
198,3,2,3,1,1,0,2,1,3
199,2,2,4,1,1,0,2,1,1
200,3,1,5,1,1,0,2,1,1
201,3,1,5,3,2,0,4,1,1
202,3,1,5,1,1,0,2,1,1
203,3,1,6,1,1,0,2,1,2
204,3,1,3,1,1,0,2,1,1
205,3,2,1,1,2,0,2,1,1
206,3,1,5,2,1,0,2,1,1
207,3,1,5,1,1,0,2,1,2
208,3,2,3,1,1,0,2,1,3
209,1,1,6,1,1,0,3,1,2
210,3,1,4,1,1,0,2,1,1
211,2,2,5,1,1,0,2,1,1
212,3,1,4,1,1,0,2,1,1
213,2,1,5,1,1,0,2,1,1
214,3,1,5,2,1,0,2,1,3
215,1,2,5,2,1,0,5,1,2
216,3,2,5,1,1,0,2,1,1
217,2,1,6,2,1,0,3,1,1
218,1,2,5,1,1,0,4,1,2
219,2,1,5,1,1,0,2,1,1
220,3,1,3,1,1,0,2,1,1
221,2,1,5,1,1,0,2,1,1
222,3,1,7,1,1,0,2,1,1
223,3,1,5,1,1,0,2,1,1
224,1,1,6,2,1,0,5,1,1
225,3,1,4,1,1,0,2,1,1
226,2,1,4,1,1,0,2,1,1
227,3,1,4,1,1,0,2,1,1
228,2,1,3,1,1,0,2,1,1
229,3,2,3,3,2,0,3,1,1
230,1,2,5,2,1,0,4,1,1
231,3,1,5,1,1,0,2,1,1
232,2,1,7,1,1,0,2,1,1
233,3,2,1,3,2,0,3,1,1
234,2,1,4,1,1,0,2,1,1
235,3,2,3,1,1,0,2,1,1
236,2,1,6,2,1,0,3,1,1
237,2,2,2,1,2,0,3,1,1
238,2,1,4,1,1,0,2,1,1
239,2,1,5,1,1,0,2,1,1
240,3,2,3,2,1,0,2,1,2
241,3,2,3,2,1,0,2,1,3
242,2,1,5,1,1,0,2,1,1
243,3,1,4,1,1,0,2,1,1
244,3,1,5,1,1,0,2,1,2
245,1,1,6,3,1,0,5,1,3
246,3,2,4,1,1,0,2,1,1
247,2,2,4,1,2,0,2,1,1
248,1,1,6,2,2,0,3,1,1
249,2,1,7,2,1,0,3,1,1
250,3,1,5,1,1,0,2,1,1
251,3,2,5,2,2,0,2,1,1
252,1,1,7,1,1,0,3,1,1
253,3,1,5,2,1,0,2,1,1
254,3,2,6,1,2,0,2,1,1
255,3,2,5,1,2,0,2,1,2
256,1,2,6,1,1,1,4,1,2
257,1,2,5,1,1,0,5,1,1
258,1,2,5,1,1,1,6,1,2
259,2,2,6,1,2,0,3,1,1
260,3,1,5,1,1,0,2,1,3
261,3,1,1,3,2,0,3,1,1
262,1,1,7,2,2,0,4,1,1
263,1,1,6,1,1,0,2,1,1
264,3,2,3,1,1,0,2,1,3
265,2,1,6,1,1,0,2,1,1
266,3,1,3,3,2,0,3,1,1
267,3,1,4,2,1,0,2,1,1
268,1,2,7,1,2,1,6,1,1
269,1,2,5,1,1,1,6,1,1
270,1,1,6,1,1,0,3,1,1
271,3,1,4,1,1,0,2,1,1
272,2,2,6,1,2,0,2,1,1
273,1,1,6,1,2,1,3,1,2
274,3,2,3,1,1,0,2,1,3
275,1,2,7,2,1,0,4,1,1
276,3,2,6,1,1,0,2,1,1
277,2,1,5,1,1,0,2,1,1
278,3,1,2,3,2,0,3,1,3
279,3,2,5,2,2,0,2,1,1
280,3,1,7,1,1,0,2,1,3
281,3,1,5,1,1,0,2,1,1
282,3,1,3,1,1,0,2,1,1
283,3,1,4,1,1,0,2,1,1
284,1,1,6,1,1,0,3,1,1
285,3,1,5,1,1,0,2,1,2
286,3,1,5,1,1,0,2,1,1
287,3,1,4,1,1,0,2,1,1
288,2,1,6,1,1,0,2,1,1
289,3,2,4,1,1,0,2,1,3
290,1,2,5,1,1,0,4,1,1
291,1,2,4,2,1,0,5,1,2
292,2,1,6,1,1,0,2,1,2
293,3,2,4,1,1,0,2,1,1
294,3,1,4,1,1,0,2,1,1
295,1,1,6,1,1,1,3,1,2
296,3,1,4,1,1,0,2,1,2
297,1,2,1,2,2,0,6,1,1
298,1,1,6,1,1,0,3,1,1
299,1,2,6,1,2,1,6,1,2
